"","word","n","star_rating"
"785","friend",88,1
"786","husband",88,1
"787","installing",88,1
"788","pod",88,1
"789","waited",88,1
"790","corner",87,1
"791","crappy",87,1
"792","drop",87,1
"793","include",87,1
"794","ipods",87,1
"795","powered",87,1
"796","refunded",87,1
"797","shown",87,1
"798","absolute",86,1
"799","belt",86,1
"800","cds",86,1
"801","dollar",86,1
"802","forever",86,1
"803","handle",86,1
"804","heavy",86,1
"805","lots",86,1
"806","lower",86,1
"807","randomly",86,1
"808","skip",86,1
"809","1st",85,1
"810","covered",85,1
"811","customers",85,1
"812","position",85,1
"813","unplug",85,1
"814","adjust",84,1
"815","attempt",84,1
"816","hopes",84,1
"817","info",84,1
"818","mp4",84,1
"819","pain",84,1
"820","title",84,1
"821","excellent",83,1
"822","language",83,1
"823","larger",83,1
"824","lose",83,1
"825","miles",83,1
"826","attempted",82,1
"827","construction",82,1
"828","holes",82,1
"829","hook",82,1
"830","samsung",82,1
"831","select",82,1
"832","separate",82,1
"833","slightly",82,1
"834","starts",82,1
"835","dealer",81,1
"836","lesson",81,1
"837","limited",81,1
"838","shell",81,1
"839","sense",80,1
"840","source",80,1
"841","word",80,1
"842","11",79,1
"843","flat",79,1
"844","fuse",79,1
"845","sun",79,1
"846","auto",78,1
"847","crazy",78,1
"848","fee",78,1
"849","fixed",78,1
"850","heat",78,1
"851","itunes",78,1
"852","ready",78,1
"853","sticky",78,1
"854","wear",78,1
"855","adapters",77,1
"856","blew",77,1
"857","bose",77,1
"858","compared",77,1
"859","delivery",77,1
"860","glad",77,1
"861","plugging",77,1
"862","reviewers",77,1
"863","sort",77,1
"864","wrote",77,1
"865","blank",76,1
"866","chip",76,1
"867","clips",76,1
"868","driver",76,1
"869","favor",76,1
"870","form",76,1
"871","game",76,1
"872","maps",76,1
"873","strap",76,1
"874","surprised",76,1
"875","text",76,1
"876","wasting",76,1
"877","5s",75,1
"878","5th",75,1
"879","accept",75,1
"880","beginning",75,1
"881","colors",75,1
"882","creative",75,1
"883","earbuds",75,1
"884","friendly",75,1
"885","generic",75,1
"886","helpful",75,1
